"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"C58","C_0402","1291.612mil","659.536mil","1291.612mil","659.536mil","1291.612mil","676.268mil","T","270.00","100n"
"R138","0402","1754.915mil","500mil","1754.915mil","500mil","1754.915mil","518.898mil","T","270.00","0R"
"R137","0402","1720.35mil","500mil","1720.35mil","500mil","1720.35mil","518.898mil","T","270.00","0R"
"R136","0402","1653.543mil","918.398mil","1653.543mil","918.398mil","1653.543mil","937.295mil","T","270.00","0R"
"R135","0402","1700.65mil","918.942mil","1700.65mil","918.942mil","1700.65mil","937.84mil","T","270.00","0R"
"R134","0402","1586.883mil","500mil","1586.883mil","500mil","1586.883mil","518.898mil","T","270.00","0R"
"R133","0402","1743.143mil","918.008mil","1743.143mil","918.008mil","1743.143mil","936.906mil","T","270.00","0R"
"R132","0402","1553.68mil","500mil","1553.68mil","500mil","1553.68mil","518.898mil","T","270.00","0R"
"R98","0402","1783.643mil","918.559mil","1783.643mil","918.559mil","1783.643mil","937.457mil","T","270.00","0R"
"R131","0402","2329mil","1151mil","2329mil","1151mil","2310.102mil","1151mil","B","360.00","100k"
"R130","0402","1498.36mil","2104.392mil","1498.36mil","2104.392mil","1498.36mil","2123.289mil","B","270.00","0R"
"C13","0603","2979.2mil","708.523mil","2979.2mil","708.523mil","3007.743mil","708.523mil","B","180.00","100p"
"C77","0805","214.872mil","1036.897mil","214.872mil","1036.897mil","249.321mil","1036.897mil","T","180.00","47u"
"C76","0805","214.872mil","971.349mil","214.872mil","971.349mil","249.321mil","971.349mil","T","180.00","47u"
"C75","0805","214.872mil","906.002mil","214.872mil","906.002mil","249.321mil","906.002mil","T","180.00","47u"
"C20","C_0402","2896.264mil","1079.945mil","2896.264mil","1079.945mil","2879.532mil","1079.945mil","T","360.00","100n"
"R102","0402","316.58mil","1791.97mil","316.58mil","1791.97mil","335.477mil","1791.97mil","T","180.00","53k6"
"FAN1","molex_2223-2021","2929.2mil","2011.261mil","2929.2mil","2011.261mil","2879.2mil","2011.261mil","T","0.00","MX-22-23-2021"
"C34","0402","308.231mil","1683.624mil","308.231mil","1683.624mil","327.128mil","1683.624mil","T","180.00","4n7"
"C32","1206","506.851mil","1869.399mil","506.851mil","1869.399mil","452.717mil","1869.399mil","T","360.00","2u2"
"C31","1206","506.851mil","1965.523mil","506.851mil","1965.523mil","452.717mil","1965.523mil","T","360.00","2u2"
"C30","1206","506.851mil","2061.646mil","506.851mil","2061.646mil","452.717mil","2061.646mil","T","360.00","2u2"
"C27","0402","635.287mil","1757.521mil","635.287mil","1757.521mil","654.185mil","1757.521mil","T","180.00","10n"
"C2","C_0402","3412.351mil","1267.906mil","3412.351mil","1267.906mil","3412.351mil","1251.174mil","B","90.00","100n"
"IC6","RNH0030A","1748.031mil","661.417mil","1748.031mil","661.417mil","1818.897mil","708.661mil","T","270.00","HD3SS3220"
"C61","C_0402","1216.809mil","658.552mil","1216.809mil","658.552mil","1216.809mil","675.284mil","T","270.00","100n"
"C14","C_0402","2921.325mil","1529.422mil","2921.325mil","1529.422mil","2921.325mil","1546.155mil","B","270.00","10p"
"C57","C_0402","1323.108mil","659.536mil","1323.108mil","659.536mil","1323.108mil","676.268mil","T","270.00","100n"
"IC1","RTL8211F","3287.467mil","1427.06mil","3287.467mil","1427.06mil","3385.892mil","1497.926mil","B","180.00","RTL8211F"
"J2","WE_7499110124","3346.457mil","708.661mil","3346.457mil","708.661mil","3571.457mil","688.583mil","T","180.00","7499110124"
"R75","0402","1952.756mil","674.781mil","1952.756mil","674.781mil","1952.756mil","693.678mil","B","270.00","909k"
"R51","0402","3075.86mil","1906.97mil","3075.86mil","1906.97mil","3075.86mil","1888.073mil","T","90.00","3M3"
"R50","0402","1710.403mil","1289.51mil","1710.403mil","1289.51mil","1691.505mil","1289.51mil","B","360.00","2k2"
"R49","0805","3776.076mil","1797.49mil","3776.076mil","1797.49mil","3776.076mil","1837.49mil","T","270.00","0R"
"R9","0402","3022.9mil","1214.462mil","3022.9mil","1214.462mil","3022.9mil","1233.36mil","B","270.00","4k7"
"R8","0402","2976.443mil","1320.761mil","2976.443mil","1320.761mil","2976.443mil","1339.659mil","B","270.00","4k7"
"R7","0402","3055.184mil","1360.131mil","3055.184mil","1360.131mil","3055.184mil","1379.029mil","B","270.00","4k7"
"Y1","TXC_7A","3346.522mil","1623.911mil","3346.522mil","1623.911mil","3419.357mil","1623.911mil","B","180.00","25MHz"
"RST1","TL3340AF160QG","81.693mil","496.063mil","78.74mil","496.063mil","125.984mil","447.835mil","T","270.00","TL3340AF160QG"
"ON/OFF","TL3340AF160QG","81.693mil","751.969mil","78.74mil","751.969mil","125.984mil","703.74mil","T","270.00","TL3340AF160QG"
"R100","0402","2378mil","771mil","2378mil","771mil","2378mil","752.102mil","T","90.00","1k54"
"R99","0603","2097.695mil","282.211mil","2097.695mil","282.211mil","2070.195mil","282.211mil","B","360.00","0R"
"R97","0402","1343.453mil","1127.371mil","1343.453mil","1127.371mil","1343.453mil","1146.268mil","B","270.00","0R"
"R96","0402","1460.359mil","2104.392mil","1460.359mil","2104.392mil","1460.359mil","2085.494mil","B","90.00","0R"
"R87","0402","2568.053mil","818.05mil","2568.053mil","818.05mil","2586.951mil","818.05mil","B","180.00","10k"
"R86","0402","2568.053mil","777.896mil","2568.053mil","777.896mil","2549.156mil","777.896mil","B","360.00","4k7"
"R84","0402","1901.574mil","673.228mil","1901.574mil","673.228mil","1901.574mil","654.331mil","B","90.00","0R"
"R83","0402","1559.055mil","673.228mil","1559.055mil","673.228mil","1559.055mil","654.331mil","B","90.00","0R"
"R82","0402","1791.338mil","811.024mil","1791.338mil","811.024mil","1772.441mil","811.024mil","B","360.00","4k7"
"R80","0402","1940.945mil","570.866mil","1940.945mil","570.866mil","1940.945mil","589.764mil","B","270.00","2k2"
"R79","0402","1901.574mil","570.866mil","1901.574mil","570.866mil","1901.574mil","589.764mil","B","270.00","2k2"
"R78","0402","1640.989mil","792.463mil","1640.989mil","792.463mil","1640.989mil","773.565mil","B","90.00","200k"
"R77","0402","2004.417mil","674.781mil","2004.417mil","674.781mil","2004.417mil","655.883mil","B","90.00","0R"
"R76","0402","2040.546mil","675.459mil","2040.546mil","675.459mil","2040.546mil","656.561mil","B","90.00","0R"
"R74","0402","1732.283mil","826.772mil","1732.283mil","826.772mil","1732.283mil","807.874mil","B","90.00","200k"
"R73","0603","488.662mil","448.04mil","488.662mil","448.04mil","488.662mil","475.54mil","B","270.00","5k6"
"R71","0402","720.945mil","349.615mil","720.945mil","349.615mil","702.048mil","349.615mil","B","360.00","0R"
"R70","0603","437.481mil","448.04mil","437.481mil","448.04mil","437.481mil","420.54mil","B","90.00","470R"
"R67","0805","2719.701mil","819.833mil","2719.701mil","819.833mil","2719.701mil","859.833mil","T","270.00","0R"
"R43","0402","3185.105mil","1627.848mil","3185.105mil","1627.848mil","3185.105mil","1646.745mil","B","270.00","0R"
"R42","0402","2874.081mil","1450.682mil","2874.081mil","1450.682mil","2855.184mil","1450.682mil","B","360.00","22R"
"R41","0402","3355.101mil","1136.153mil","3355.101mil","1136.153mil","3373.999mil","1136.153mil","B","180.00","0R"
"R20","0402","3047.31mil","1490.052mil","3047.31mil","1490.052mil","3047.31mil","1508.95mil","B","270.00","4k7"
"R59","0402","244.225mil","1810.548mil","244.225mil","1810.548mil","244.225mil","1791.65mil","T","90.00","49R9"
"R58","0402","3363.262mil","1828.23mil","3363.262mil","1828.23mil","3363.262mil","1847.128mil","T","270.00","10k"
"R56","1206","175.46mil","1131.13mil","175.46mil","1131.13mil","229.594mil","1131.13mil","T","360.00","0R"
"R55","0402","3111.294mil","1773.111mil","3111.294mil","1773.111mil","3111.294mil","1754.214mil","T","90.00","16k5"
"R53","0402","1710.403mil","1251.441mil","1710.403mil","1251.441mil","1691.505mil","1251.441mil","B","360.00","2k2"
"R52","0402","3075.86mil","1771.143mil","3075.86mil","1771.143mil","3075.86mil","1790.041mil","T","270.00","44k2"
"R48","0805","2617.459mil","821.905mil","2617.459mil","821.905mil","2617.459mil","861.905mil","T","270.00","0R"
"R46","0402","2913.451mil","852.257mil","2913.451mil","852.257mil","2932.349mil","852.257mil","T","180.00","10k"
"R45","0402","2912.288mil","890.57mil","2912.288mil","890.57mil","2893.39mil","890.57mil","T","360.00","2k"
"R44","0402","3435.11mil","1209.415mil","3435.11mil","1209.415mil","3435.11mil","1190.517mil","T","90.00","0R"
"R40","0402","2874.081mil","1308.95mil","2874.081mil","1308.95mil","2855.184mil","1308.95mil","B","360.00","22R"
"R39","0402","3374.081mil","1226.273mil","3374.081mil","1226.273mil","3374.081mil","1245.17mil","B","270.00","0R"
"R38","0402","2874.081mil","1344.383mil","2874.081mil","1344.383mil","2855.184mil","1344.383mil","B","360.00","22R"
"R37","0603","3597.166mil","1465.55mil","3597.166mil","1465.55mil","3597.166mil","1493.05mil","T","270.00","2k49"
"R36","0402","2875.652mil","1379.82mil","2875.652mil","1379.82mil","2856.754mil","1379.82mil","B","360.00","22R"
"R35","0402","2874.081mil","1415.249mil","2874.081mil","1415.249mil","2855.184mil","1415.249mil","B","360.00","22R"
"R34","0402","2874.081mil","1486.115mil","2874.081mil","1486.115mil","2855.184mil","1486.115mil","B","360.00","22R"
"R33","0402","3196.916mil","1226.273mil","3196.916mil","1226.273mil","3196.916mil","1207.375mil","B","90.00","0R"
"R32","0402","3338.648mil","1226.273mil","3338.648mil","1226.273mil","3338.648mil","1207.375mil","B","90.00","0R"
"R30","0402","3303.215mil","1226.273mil","3303.215mil","1226.273mil","3303.215mil","1207.375mil","B","90.00","0R"
"R29","0402","3267.782mil","1226.273mil","3267.782mil","1226.273mil","3267.782mil","1207.375mil","B","90.00","0R"
"R28","0402","3232.349mil","1226.273mil","3232.349mil","1226.273mil","3232.349mil","1207.375mil","B","90.00","0R"
"R27","0402","3161.483mil","1226.273mil","3161.483mil","1226.273mil","3161.483mil","1207.375mil","B","90.00","0R"
"R26","0402","2824.164mil","954.896mil","2824.164mil","954.896mil","2824.164mil","935.998mil","T","90.00","0R"
"R23","0402","3540.416mil","1722.385mil","3540.416mil","1722.385mil","3540.416mil","1741.283mil","B","270.00","4k7"
"R22","0402","3697.289mil","1556.99mil","3697.289mil","1556.99mil","3697.289mil","1538.092mil","B","90.00","4k7"
"R19","0402","3693.187mil","1660.723mil","3693.187mil","1660.723mil","3693.187mil","1679.621mil","B","270.00","4k7"
"R16","0402","3149.672mil","1627.848mil","3149.672mil","1627.848mil","3149.672mil","1608.95mil","B","90.00","10k"
"R6","0402","2957.823mil","1434.874mil","2957.823mil","1434.874mil","2957.823mil","1415.976mil","B","90.00","4k7"
"LED1","LED0603","413.323mil","370.591mil","413.323mil","370.591mil","440.823mil","370.591mil","B","180.00","KPT-1608EC"
"L10","0603","718.933mil","601.261mil","718.933mil","601.261mil","686.846mil","601.261mil","B","360.00","BLM18EG221SN1D"
"J4","694106106102","539.686mil","293.347mil","539.686mil","172.284mil","323.15mil","172.284mil","T","90.00","694106106102"
"L7","WE_7447798720","253.011mil","1394.444mil","253.011mil","1394.444mil","253.011mil","1555.861mil","T","270.00","WE_7447798720"
