Designator,PartNumber,Manufacturer,Description,Value,Quantity

"C1, C2, C3, C4, C5, C6, C7, C11, C16, C18, C20, C22, C23, C38, C39, C50, C52, C55, C56, C57, C58, C59, C60, C61, C62, C63, C64, C70, C71, C72, C73, C74, C80, C81, C84, C85, C86","C_100n_0402","","MLCC SMT Capacitor 100nF 0402","100n","37"
"C8, C9, C78, C79","C_27p_0402","","MLCC SMT Capacitor 27pF 0402","27p","4"
"C10, C25","C_22u_1210","","MLCC SMT Capacitor 22uF 1210","22u","2"
"C12","C_10n_0603","","MLCC SMT Capacitor 10nF 0603","10n","1"
"C13","C_100p_0603","","MLCC SMT Capacitor 100pF 0603","100p","1"
"C14","C_10p_0402","","MLCC SMT Capacitor 10pF 0402","10p","1"
"C15, C17, C19, C21","C_4u7_0603","","MLCC SMT Capacitor 4u7F 0603","4u7","4"
"C24","C_2u2_1210","","MLCC SMT Capacitor 2u2F 1210","2u2","1"
"C26, C43","C_100n_0603","","MLCC SMT Capacitor 100nF 0603","100n","2"
"C27","C_10n_0402","","MLCC SMT Capacitor 10 nF 0402","10n","1"
"C28, C67, C68","C_1u_0402","","MLCC SMT Capacitor 1uF 0402","1u","3"
"C29","C_3n3_0603","","MLCC SMT Capacitor 3n3F 0603","3n3","1"
"C30, C31, C32","C_2u2_1206","","MLCC SMT Capacitor 2.2uF 1206","2u2","3"
"C33","C_470p_0603","","MLCC SMT Capacitor 470pF 0603","470p","1"
"C34","C_4n7_0402","","MLCC SMT Capacitor 4.7 nF 0402","4n7","1"
"C35","C_2n2_0603","","MLCC SMT Capacitor 2n2F 0603","2n2","1"
"C36","C_47p_0402","","MLCC SMT Capacitor 47pF 0402","47p","1"
"C37, C41","C_1u_0603","","MLCC SMT Capacitor 1uF 0603","1u","2"
"C40","C_100u_1210_X5R","","MLCC SMT Capacitor 100uF 1210 X5R","100u","1"
"C42","C_10u_0603","","MLCC SMT Capacitor 10uF 0603","10u","1"
"C44, C75, C76, C77","C_47u_0805","","MLCC SMT Capacitor 47uF 0805","47u","4"
"C65, C66","C_4u7_0402","","MLCC SMT Capacitor 4u7F 0402","4u7","2"
"C69","C_10u_0805","","MLCC SMT Capacitor 10uF 0805","10u","1"
"C82, C83","C_2p_0402","","MLCC SMT Capacitor 2p 0402","2p","2"
"D1","PDS760-13","DIODES INC.","DIODE SCHOTTKY 60V 7A POWERDI5","PDS760-13","1"
"D2, D5, D8, D9","TPD2E009DRTR","Texas Instruments","ESD Suppressors 2-CH","TPD2E009DRTR","4"
"D4","TPD6E05U06","Texas Instruments","ESD Suppressors 6-CH Pass through layout","TPD6E05U06","1"
"D6, D7","TPD4E05U06","Texas Instruments","ESD Suppressors 4-CH","TPD4E05U06","2"
"D10","1N4148WS","MULTICOMP","Diode small signal","1N4148WS","1"
"F1","1206L450SLWR","LITTELFUSE","PTC RESET 6V LO RHO 1206 4.50A","1206L450SLWR","1"
"FAN","022232021 A-6373-02A222","Molex","Pinhead connector with key","MX-22-23-2021","1"
"IC1","RTL8211F","Realtek","Highly Integrated 10/100/1000m Ethernet Transceiver","RTL8211F","1"
"IC2","MAX17502GATB+","MAXIM","DC-DC Switching (Step Down) Regulator, Adjustable, 600 kHz, 4.5V-60Vin, 0.9V-55.2V/1 A out, TDFN-10","MAX17502GATB+","1"
"IC3","TPS54561-Q1","TEXAS INSTRUMENTS","IC REG BCK SPLIT RAIL ADJ 10WSON","TPS54561-Q1","1"
"IC4","FT2232D","FTDI","Dual USB-UART/FIFO","FT2232D","1"
"IC5","NCP380HSNAJAAT1G","ON Semiconductor","POWER LOAD SWITCH, HIGH SIDE","NCP380HSNAJAAT1G","1"
"IC6","HD3SS3220","Texas Instruments","IC DRP PORT CTLR USB-C 30WQFN","HD3SS3220","1"
"IC7","TPD8S009","TEXAS INSTRUMENTS","8-Channel ESD Protection for DisplayPort and HDMI","TPD8S009","1"
"IC8","TLV70018DCKT","TEXAS INSTRUMENTS","Voltage Regulator, 2V to 5.5V, 175mV Dropout, 1.8Vout, 200mAout","TLV70018DCKT","1"
"IC9","PTN5150","NXP","CC logic for USB Type-C applications","PTN5150","1"
